cal_cycle,key,solenoid_time_us,voltage_V
 4, 14 ,2966, 1.03
 4, 19 ,3050, 1.01
 4, 24 ,2712, 1.45
 4, 29 ,4708, 0.95
 4, 34 ,3428, 1.00
 4,  2 ,3017, 1.01
 4,  7 ,2659, 0.99
 4, 12 ,2334, 1.04
 4, 17 ,2902, 0.96
 4, 22 ,2182, 1.01
 4, 27 ,4112, 1.04
 4, 32 ,2615, 1.00
 5,  0 ,2813, 1.00
 5,  5 ,3227, 1.00
 5, 10 ,2957, 0.99
 5, 15 ,3004, 0.99
 5, 20 ,3328, 1.07
 5, 25 ,3160, 0.93
 5, 30 ,2975, 0.92
 5, 35 ,2720, 0.95
 5,  3 ,2728, 1.00
 5,  8 ,3094, 0.97
 5, 13 ,2581, 0.95
 5, 18 ,1921, 1.00
 5, 23 ,2182, 1.00
 5, 28 ,4214, 1.04
 5, 33 ,3052, 0.92
 5,  1 ,2613, 0.99
 5,  6 ,2413, 0.99
 5, 11 ,2467, 1.06
 5, 16 ,2225, 1.02
 5, 21 ,1998, 1.01
 5, 26 ,3602, 1.00
 5, 31 ,3212, 0.90
 5, 36 ,2984, 0.95
 5,  4 ,2501, 1.01
 5,  9 ,3566, 1.04
 5, 14 ,2961, 1.02
 5, 19 ,3049, 1.00
 5, 24 ,2638, 0.43
 5, 29 ,4715, 0.92
 5, 34 ,3428, 0.98
 5,  2 ,3013, 0.99
 5,  7 ,2660, 1.00
 5, 12 ,2325, 1.13
 5, 17 ,2909, 1.10
 5, 22 ,2181, 1.04
 5, 27 ,4107, 1.03
 5, 32 ,2615, 0.99
 6,  0 ,2811, 1.00
 6,  5 ,3227, 1.00
 6, 10 ,2958, 0.99
 6, 15 ,3005, 0.99
 6, 20 ,3315, 0.82
 6, 25 ,3171, 0.98
 6, 30 ,2986, 0.92
 6, 35 ,2726, 1.02
 6,  3 ,2729, 1.00
 6,  8 ,3101, 0.98
 6, 13 ,2590, 0.98
 6, 18 ,1921, 0.99
 6, 23 ,2182, 1.02
 6, 28 ,4209, 0.94
 6, 33 ,3063, 0.94
 6,  1 ,2616, 1.00
 6,  6 ,2414, 0.99
 6, 11 ,2453, 1.02
 6, 16 ,2222, 0.98
 6, 21 ,1997, 1.01
 6, 26 ,3602, 1.00
 6, 31 ,3228, 0.95
 6, 36 ,2991, 0.99
 6,  4 ,2498, 0.98
 6,  9 ,3558, 1.01
 6, 14 ,2957, 1.01
 6, 19 ,3049, 1.00
 6, 24 ,2732, 1.56
 6, 29 ,4728, 1.03
 6, 34 ,3430, 0.94
 6,  2 ,3015, 1.00
 6,  7 ,2660, 1.00
 6, 12 ,2297, 1.03
 6, 17 ,2890, 1.02
 6, 22 ,2175, 0.97
 6, 27 ,4103, 0.99
 6, 32 ,2616, 0.96
 7,  0 ,2811, 1.00
 7,  5 ,3227, 1.00
 7, 10 ,2959, 0.99
 7, 15 ,3006, 1.00
 7, 20 ,3346, 1.05
 7, 25 ,3174, 1.02
 7, 30 ,2997, 0.96
 7, 35 ,2724, 1.12
 7,  3 ,2729, 1.00
 7,  8 ,3105, 1.01
 7, 13 ,2593, 1.01
 7, 18 ,1923, 0.99
 7, 23 ,2179, 1.01
 7, 28 ,4218, 1.03
 7, 33 ,3071, 0.96
 7,  1 ,2616, 1.00
 7,  6 ,2417, 1.00
 7, 11 ,2449, 0.94
 7, 16 ,2225, 1.00
 7, 21 ,1996, 1.00
 7, 26 ,3602, 0.99
 7, 31 ,3235, 0.99
 7, 36 ,2991, 1.00
 7,  4 ,2504, 1.01
 7,  9 ,3556, 1.01
 7, 14 ,2956, 1.03
 7, 19 ,3049, 0.97
 7, 24 ,2639, 0.64
 7, 29 ,4724, 1.01
 7, 34 ,3439, 0.94
 7,  2 ,3015, 1.00
 7,  7 ,2660, 1.00
 7, 12 ,2290, 0.80
 7, 17 ,2886, 0.93
 7, 22 ,2180, 1.12
 7, 27 ,4104, 1.00
 7, 32 ,2621, 1.01
 8,  0 ,2811, 1.00
 8,  5 ,3227, 0.99
 8, 10 ,2961, 1.00
 8, 15 ,3006, 1.00
 8, 20 ,3337, 1.18
 8, 25 ,3171, 1.08
 8, 30 ,3002, 0.97
 8, 35 ,2707, 0.87
 8,  3 ,2729, 1.00
 8,  8 ,3102, 0.99
 8, 13 ,2591, 0.98
 8, 18 ,1925, 1.00
 8, 23 ,2178, 0.99
 8, 28 ,4214, 1.00
 8, 33 ,3076, 0.98
 8,  1 ,2614, 1.00
 8,  6 ,2417, 0.99
 8, 11 ,2462, 1.02
 8, 16 ,2225, 1.01
 8, 21 ,1996, 1.01
 8, 26 ,3603, 1.03
 8, 31 ,3236, 0.98
 8, 36 ,2991, 0.98
 8,  4 ,2500, 0.97
 8,  9 ,3555, 0.99
 8, 14 ,2950, 1.01
 8, 19 ,3053, 0.97
 8, 24 ,2699, 1.42
 8, 29 ,4724, 0.96
 8, 34 ,3448, 0.97
 8,  2 ,3015, 0.99
 8,  7 ,2660, 1.00
 8, 12 ,2334, 1.06
 8, 17 ,2899, 0.95
 8, 22 ,2161, 0.89
 8, 27 ,4104, 0.97
 8, 32 ,2619, 0.98
 9,  0 ,2812, 1.00
 9,  5 ,3229, 1.00
 9, 10 ,2961, 1.00
 9, 15 ,3006, 1.01
 9, 20 ,3306, 1.11
 9, 25 ,3159, 0.95
 9, 30 ,3006, 0.97
 9, 35 ,2725, 1.03
 9,  3 ,2729, 1.00
 9,  8 ,3104, 1.03
 9, 13 ,2594, 0.98
 9, 18 ,1925, 0.99
 9, 23 ,2179, 0.99
 9, 28 ,4214, 1.02
 9, 33 ,3078, 1.12
 9,  1 ,2614, 1.00
 9,  6 ,2421, 1.00
 9, 11 ,2458, 0.99
 9, 16 ,2224, 1.00
 9, 21 ,1995, 1.00
 9, 26 ,3599, 1.00
 9, 31 ,3238, 1.01
 9, 36 ,2993, 0.98
 9,  4 ,2509, 1.02
 9,  9 ,3556, 0.95
 9, 14 ,2948, 1.01
 9, 19 ,3057, 1.01
 9, 24 ,2630, 0.50
 9, 29 ,4730, 0.95
 9, 34 ,3452, 1.00
 9,  2 ,3020, 1.00
 9,  7 ,2660, 1.00
 9, 12 ,2321, 1.15
 9, 17 ,2909, 0.96
 9, 22 ,2180, 1.08
 9, 27 ,4108, 1.02
 9, 32 ,2622, 1.01
