key,solenoid_time_us,voltage_V
28 ,4221, 1.00
33 ,3038, 1.12
 1 ,2631, 0.99
 6 ,2447, 1.04
11 ,2400, 1.04
16 ,2188, 0.97
21 ,1909, 1.03
26 ,3624, 1.02
31 ,3159, 0.75
36 ,2988, 0.98
 4 ,2542, 0.98
 9 ,3586, 1.05
14 ,2957, 0.98
19 ,3072, 1.00
24 ,2902, 1.60
29 ,4700, 0.98
34 ,3167, 0.52
 2 ,3057, 0.97
 7 ,2684, 1.04
12 ,2457, 0.99
17 ,2986, 0.84
22 ,2070, 0.74
27 ,4050, 1.02
32 ,2759, 1.63
 0 ,2830, 0.94
 5 ,3203, 1.01
10 ,2945, 1.00
15 ,2959, 0.99
20 ,3350, 1.05
25 ,3197, 1.04
30 ,2931, 0.97
35 ,2693, 1.16
 3 ,2684, 0.97
 8 ,3112, 1.00
13 ,2603, 0.95
18 ,2127, 1.83
23 ,2151, 1.19
28 ,4222, 0.97
33 ,2981, 0.97
 1 ,2636, 1.00
 6 ,2425, 1.02
11 ,2381, 0.98
16 ,2200, 1.07
21 ,1895, 0.96
26 ,3615, 1.02
31 ,3282, 1.19
36 ,2999, 1.04
 4 ,2553, 0.97
 9 ,3562, 1.03
14 ,2965, 0.99
19 ,3072, 1.00
24 ,2604, 0.08
29 ,4711, 0.94
34 ,3406, 1.51
 2 ,3073, 0.98
 7 ,2666, 1.02
12 ,2462, 1.00
17 ,3064, 0.86
22 ,2200, 1.25
27 ,4039, 1.01
32 ,2443, 0.18
 0 ,2860, 0.97
 5 ,3199, 1.00
10 ,2946, 1.00
15 ,2965, 1.01
20 ,3327, 1.10
25 ,3177, 0.97
30 ,2945, 0.98
35 ,2612, 0.71
 3 ,2701, 0.97
 8 ,3111, 1.00
13 ,2625, 1.00
18 ,1715, 0.08
23 ,2054, 0.82
28 ,4235, 1.08
33 ,2995, 0.86
 1 ,2637, 0.99
 6 ,2413, 0.98
11 ,2393, 1.05
16 ,2167, 0.94
21 ,1912, 1.03
26 ,3604, 0.98
31 ,3187, 0.81
36 ,2982, 1.01
 4 ,2570, 1.01
 9 ,3548, 0.98
14 ,2968, 0.99
19 ,3073, 1.00
24 ,3062, 2.12
29 ,4739, 0.97
34 ,3152, 0.49
 2 ,3081, 0.99
 7 ,2654, 1.02
12 ,2463, 0.99
17 ,3133, 0.94
22 ,2074, 0.83
27 ,4036, 1.00
32 ,2851, 1.92
 0 ,2875, 0.99
 5 ,3199, 1.00
10 ,2947, 1.00
15 ,2961, 1.00
20 ,3279, 0.83
25 ,3193, 1.02
30 ,2955, 0.99
35 ,2757, 1.21
 3 ,2716, 0.99
 8 ,3110, 0.99
13 ,2625, 1.01
18 ,2174, 2.00
23 ,2145, 1.15
28 ,4195, 0.95
33 ,3067, 1.18
 1 ,2640, 1.00
 6 ,2421, 1.03
11 ,2371, 0.98
16 ,2196, 1.00
21 ,1900, 0.98
26 ,3612, 0.99
31 ,3282, 1.05
36 ,2976, 1.00
 4 ,2566, 0.98
 9 ,3556, 0.99
14 ,2973, 1.00
19 ,3073, 1.01
24 ,2501, 0.04
29 ,4755, 1.05
34 ,3407, 1.35
 2 ,3086, 1.00
 7 ,2646, 1.00
12 ,2469, 1.02
17 ,3162, 1.16
22 ,2158, 1.03
27 ,4037, 0.94
32 ,2392, 0.04
 0 ,2880, 0.98
 5 ,3199, 1.01
10 ,2948, 1.00
15 ,2961, 0.98
20 ,3364, 1.20
25 ,3181, 0.97
30 ,2959, 0.98
35 ,2653, 0.86
 3 ,2722, 0.99
 8 ,3113, 1.01
13 ,2621, 1.03
18 ,1677, 0.00
23 ,2071, 0.92
28 ,4219, 0.98
33 ,2977, 0.88
 1 ,2638, 1.00
 6 ,2407, 1.01
11 ,2383, 0.98
16 ,2195, 1.07
21 ,1908, 1.02
26 ,3615, 1.00
31 ,3255, 1.00
36 ,2978, 1.00
 4 ,2574, 1.00
 9 ,3562, 1.00
14 ,2973, 1.00
19 ,3070, 0.99
24 ,2982, 1.49
29 ,4729, 0.96
34 ,3233, 0.93
 2 ,3086, 1.00
 7 ,2646, 0.99
12 ,2460, 0.98
17 ,3081, 0.91
22 ,2142, 1.15
27 ,4065, 0.99
32 ,2872, 1.98
 0 ,2889, 0.99
 5 ,3193, 1.01
10 ,2948, 1.00
15 ,2970, 0.99
20 ,3265, 1.07
25 ,3194, 1.00
30 ,2969, 1.04
35 ,2725, 1.29
 3 ,2725, 1.00
 8 ,3106, 1.00
13 ,2608, 1.00
18 ,2177, 2.00
23 ,2109, 1.05
28 ,4229, 0.93
33 ,3037, 0.86
 1 ,2639, 1.00
 6 ,2405, 0.98
11 ,2393, 1.00
16 ,2159, 0.91
21 ,1899, 0.98
26 ,3615, 1.04
31 ,3255, 1.01
36 ,2976, 0.99
 4 ,2573, 0.98
 9 ,3560, 0.98
14 ,2974, 1.01
19 ,3073, 1.00
24 ,2739, 1.35
29 ,4750, 1.05
34 ,3267, 1.06
 2 ,3088, 1.01
 7 ,2649, 0.99
12 ,2469, 1.02
17 ,3124, 1.10
22 ,2068, 0.75
27 ,4072, 1.01
32 ,2381, 0.03
 0 ,2893, 0.99
 5 ,3191, 1.00
10 ,2950, 1.00
15 ,2972, 0.99
20 ,3228, 0.94
25 ,3195, 1.00
30 ,2948, 0.94
35 ,2579, 0.60
 3 ,2727, 1.00
 8 ,3108, 1.02
13 ,2608, 1.01
18 ,1677, 0.00
23 ,2085, 0.94
28 ,4266, 1.11
33 ,3109, 1.11
 1 ,2640, 1.00
 6 ,2417, 1.01
11 ,2395, 0.98
16 ,2203, 1.07
21 ,1909, 1.01
26 ,3596, 1.00
31 ,3249, 1.03
36 ,2981, 1.02
 4 ,2583, 1.02
 9 ,3568, 1.00
14 ,2969, 1.00
19 ,3074, 1.01
24 ,2563, 0.15
29 ,4725, 1.08
34 ,3236, 0.85
 2 ,3085, 1.00
 7 ,2652, 0.99
12 ,2460, 0.96
17 ,3076, 0.99
22 ,2195, 1.28
27 ,4070, 1.05
32 ,2864, 1.96
