key,solenoid_time_us,voltage_V
 0 ,2200, 0.44
 5 ,3300, 1.13
10 ,3000, 1.09
15 ,2900, 0.95
20 ,3500, 1.31
25 ,3700, 2.76
30 ,4000, 2.88
35 ,3000, 2.23
 3 ,2300, 0.64
 8 ,3500, 1.78
13 ,2800, 1.37
18 ,2500, 2.85
23 ,2300, 1.59
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2600, 0.97
 6 ,3000, 1.66
11 ,3000, 1.83
16 ,2600, 1.78
21 ,2200, 1.64
26 ,4500, 2.60
31 ,4000, 2.98
36 ,3500, 2.18
 4 ,2300, 0.74
 9 ,4200, 1.88
14 ,3600, 2.38
19 ,3300, 1.51
24 ,4000, 2.99
29 ,6000, 2.34
34 ,3500, 1.77
 2 ,2900, 0.84
 7 ,3000, 1.39
12 ,2800, 1.64
17 ,2550, 0.59
22 ,2300, 1.60
27 ,5000, 2.40
32 ,4000, 2.97
 0 ,2479, 0.62
 5 ,3236, 1.04
10 ,2957, 1.03
15 ,2926, 0.95
20 ,3345, 1.04
25 ,2823, 0.27
30 ,3059, 1.42
35 ,2383, 0.30
 3 ,2479, 0.78
 8 ,3109, 0.99
13 ,2617, 1.07
18 ,1578, 0.00
23 ,2004, 0.62
28 ,4183, 0.85
33 ,2987, 1.14
 1 ,2614, 0.99
 6 ,2670, 1.31
11 ,2585, 1.30
16 ,2213, 1.09
21 ,1879, 0.96
26 ,3700, 1.20
31 ,3013, 0.46
36 ,2911, 0.85
 4 ,2428, 0.88
 9 ,3759, 1.27
14 ,2910, 0.93
19 ,3045, 0.94
24 ,3003, 1.21
29 ,5332, 2.12
34 ,3116, 0.43
 2 ,2979, 0.90
 7 ,2804, 1.17
12 ,2481, 1.02
17 ,2754, 0.74
22 ,2001, 0.71
27 ,4302, 1.39
32 ,3014, 2.47
 0 ,2670, 0.79
 5 ,3217, 1.00
10 ,2945, 1.00
15 ,2949, 1.00
20 ,3326, 1.17
25 ,3185, 1.01
30 ,2848, 0.83
35 ,2731, 0.98
 3 ,2586, 0.88
 8 ,3112, 1.00
13 ,2584, 0.99
18 ,2078, 1.71
23 ,2194, 1.32
28 ,4257, 1.07
33 ,2917, 0.76
 1 ,2621, 0.98
 6 ,2515, 1.14
11 ,2433, 1.07
16 ,2166, 0.95
21 ,1896, 0.97
26 ,3599, 0.95
31 ,3283, 1.25
36 ,2987, 1.00
 4 ,2490, 0.90
 9 ,3624, 1.08
14 ,2944, 0.97
19 ,3074, 1.00
24 ,2898, 0.99
29 ,4772, 1.14
34 ,3399, 1.46
 2 ,3027, 0.94
 7 ,2721, 1.08
12 ,2469, 1.03
17 ,2886, 0.80
22 ,2145, 1.15
27 ,4105, 1.11
32 ,2278, 0.04
 0 ,2772, 0.88
 5 ,3219, 1.03
10 ,2945, 1.00
15 ,2951, 0.98
20 ,3242, 0.78
25 ,3183, 0.97
30 ,2933, 1.00
35 ,2739, 1.09
 3 ,2645, 0.92
 8 ,3110, 1.00
13 ,2587, 0.97
18 ,1725, 0.19
23 ,2035, 0.77
