key,solenoid_time_us,voltage_V
 0 ,2200, 0.45
 5 ,3300, 1.10
10 ,3000, 1.10
15 ,2900, 0.92
20 ,3500, 1.15
25 ,3700, 2.93
30 ,4000, 2.88
35 ,3000, 2.05
 3 ,2300, 0.65
 8 ,3500, 1.81
13 ,2800, 1.41
18 ,2500, 2.88
23 ,2300, 1.38
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2600, 0.98
 6 ,3000, 1.73
11 ,3000, 1.72
16 ,2600, 1.74
21 ,2200, 1.47
26 ,4500, 2.61
31 ,4000, 2.98
36 ,3500, 2.21
 4 ,2300, 0.81
 9 ,4200, 1.89
14 ,3600, 2.39
19 ,3300, 1.56
24 ,4000, 2.99
29 ,6000, 2.21
34 ,3500, 1.39
 2 ,2900, 0.88
 7 ,3000, 1.40
12 ,2800, 1.90
17 ,2550, 0.70
22 ,2300, 1.32
27 ,5000, 2.41
32 ,4000, 2.97
 0 ,2586, 0.80
 5 ,3267, 1.05
10 ,2976, 1.03
15 ,2916, 0.92
20 ,3475, 1.26
25 ,3384, 1.67
30 ,3710, 2.72
35 ,2845, 1.33
 3 ,2439, 0.76
 8 ,3287, 1.45
13 ,2712, 1.25
18 ,2152, 1.92
23 ,2235, 1.21
28 ,4743, 2.23
33 ,3695, 3.02
 1 ,2609, 0.99
 6 ,2781, 1.46
11 ,2837, 1.51
16 ,2457, 1.49
21 ,2118, 1.31
26 ,4239, 2.15
31 ,3698, 2.89
36 ,3324, 1.73
 4 ,2366, 0.85
 9 ,3977, 1.57
14 ,3313, 1.75
19 ,3198, 1.28
24 ,3668, 2.99
29 ,5811, 2.67
34 ,3442, 1.18
 2 ,2956, 0.94
 7 ,2887, 1.26
12 ,2602, 1.61
17 ,2607, 0.75
22 ,2246, 1.06
27 ,4775, 2.10
32 ,3702, 2.96
 0 ,2723, 0.92
 5 ,3251, 1.04
10 ,2970, 1.02
15 ,2932, 0.93
20 ,3429, 1.28
25 ,3274, 1.24
30 ,3444, 2.08
35 ,2797, 1.15
 3 ,2533, 0.85
 8 ,3170, 1.13
13 ,2660, 1.13
18 ,1981, 1.25
23 ,2200, 1.09
28 ,4549, 1.82
33 ,3393, 2.31
 1 ,2614, 0.99
 6 ,2642, 1.30
11 ,2722, 1.37
16 ,2363, 1.28
21 ,2064, 1.20
26 ,4054, 1.83
31 ,3409, 1.83
36 ,3218, 1.48
 4 ,2418, 0.91
 9 ,3836, 1.38
14 ,3159, 1.35
19 ,3148, 1.16
24 ,3337, 3.00
29 ,5551, 2.50
34 ,3415, 1.02
 2 ,2981, 0.96
 7 ,2815, 1.18
12 ,2469, 1.33
17 ,2655, 0.78
22 ,2236, 1.22
27 ,4600, 1.83
32 ,3405, 2.98
 0 ,2777, 0.96
 5 ,3240, 1.00
10 ,2965, 1.00
15 ,2945, 0.91
20 ,3379, 1.30
25 ,3235, 1.17
30 ,3278, 1.73
35 ,2775, 1.05
 3 ,2593, 0.89
 8 ,3137, 1.08
13 ,2632, 1.06
18 ,1935, 0.96
23 ,2185, 1.02
28 ,4420, 1.50
33 ,3197, 1.63
 1 ,2618, 1.00
 6 ,2552, 1.16
11 ,2639, 1.25
16 ,2308, 1.18
21 ,2029, 1.08
26 ,3921, 1.61
31 ,3283, 1.30
36 ,3148, 1.25
 4 ,2449, 0.92
 9 ,3742, 1.25
14 ,3087, 1.18
19 ,3119, 1.13
24 ,3005, 1.81
29 ,5318, 1.99
34 ,3413, 0.96
 2 ,2997, 0.99
 7 ,2765, 1.11
12 ,2398, 1.27
17 ,2697, 0.83
22 ,2199, 1.02
27 ,4467, 1.59
32 ,3105, 2.70
 0 ,2804, 0.99
 5 ,3239, 1.02
10 ,2965, 1.00
15 ,2963, 0.97
20 ,3326, 1.01
25 ,3208, 1.10
30 ,3166, 1.48
35 ,2768, 1.15
 3 ,2636, 0.93
 8 ,3116, 1.05
13 ,2620, 1.06
18 ,1942, 1.10
23 ,2182, 1.00
28 ,4341, 1.28
33 ,3103, 1.24
 1 ,2620, 0.99
 6 ,2504, 1.11
11 ,2583, 1.16
16 ,2273, 1.10
21 ,2015, 1.07
26 ,3823, 1.41
31 ,3238, 1.04
36 ,3112, 1.21
 4 ,2478, 0.98
 9 ,3681, 1.16
14 ,3051, 1.10
19 ,3096, 1.10
24 ,2871, 1.42
29 ,5164, 1.76
34 ,3419, 1.08
 2 ,3002, 0.98
 7 ,2736, 1.09
12 ,2339, 0.91
17 ,2729, 0.83
22 ,2196, 1.09
27 ,4373, 1.42
32 ,2848, 1.89
 0 ,2811, 0.99
 5 ,3234, 1.01
10 ,2965, 1.02
15 ,2968, 0.96
20 ,3324, 1.01
25 ,3192, 1.07
30 ,3093, 1.29
35 ,2746, 1.00
 3 ,2664, 0.95
 8 ,3104, 1.00
13 ,2607, 1.00
18 ,1924, 1.06
23 ,2182, 1.02
28 ,4297, 1.21
33 ,3068, 0.98
 1 ,2623, 1.00
 6 ,2472, 1.07
11 ,2547, 1.11
16 ,2255, 1.09
21 ,2003, 1.02
26 ,3757, 1.30
31 ,3232, 1.03
36 ,3082, 1.20
 4 ,2486, 0.96
 9 ,3641, 1.09
14 ,3031, 1.08
19 ,3079, 1.03
24 ,2801, 1.73
29 ,5046, 1.56
34 ,3408, 1.02
 2 ,3010, 0.99
 7 ,2713, 1.06
12 ,2357, 1.18
17 ,2760, 0.85
22 ,2182, 1.08
27 ,4306, 1.36
32 ,2714, 1.39
 0 ,2818, 0.99
 5 ,3232, 0.99
10 ,2960, 1.00
15 ,2975, 0.95
20 ,3322, 1.02
25 ,3181, 1.03
30 ,3049, 1.17
35 ,2746, 1.17
 3 ,2682, 0.97
 8 ,3103, 0.98
13 ,2606, 1.00
18 ,1913, 0.96
23 ,2179, 1.00
28 ,4264, 1.19
33 ,3071, 1.08
 1 ,2623, 1.01
 6 ,2452, 1.04
11 ,2522, 1.04
16 ,2237, 1.02
21 ,1999, 1.01
26 ,3709, 1.20
31 ,3227, 1.01
36 ,3054, 1.14
 4 ,2500, 1.01
 9 ,3619, 1.08
14 ,3016, 1.05
19 ,3075, 1.02
24 ,2680, 0.74
29 ,4958, 1.40
34 ,3405, 0.97
 2 ,3014, 1.00
 7 ,2697, 1.03
12 ,2317, 0.83
17 ,2788, 0.87
22 ,2168, 0.92
27 ,4249, 1.30
32 ,2655, 1.17
 0 ,2822, 1.00
 5 ,3233, 1.01
10 ,2960, 0.99
15 ,2985, 0.99
20 ,3319, 1.17
25 ,3177, 0.99
30 ,3023, 1.07
35 ,2721, 0.94
 3 ,2694, 0.98
 8 ,3109, 1.03
13 ,2606, 1.00
18 ,1920, 1.02
23 ,2179, 0.99
28 ,4235, 1.01
33 ,3060, 0.94
 1 ,2619, 1.00
 6 ,2440, 1.05
11 ,2514, 1.12
16 ,2234, 1.04
21 ,1998, 1.02
26 ,3677, 1.15
31 ,3226, 0.94
36 ,3034, 1.13
 4 ,2497, 0.96
 9 ,3599, 1.05
14 ,3007, 1.03
19 ,3072, 1.01
24 ,2722, 1.22
29 ,4896, 1.30
34 ,3409, 0.84
 2 ,3013, 0.99
 7 ,2688, 1.03
12 ,2353, 1.08
17 ,2812, 0.90
22 ,2182, 0.94
27 ,4202, 1.20
32 ,2630, 1.05
 0 ,2820, 1.00
 5 ,3229, 0.99
10 ,2962, 1.00
15 ,2986, 0.98
20 ,3290, 1.02
25 ,3178, 1.04
