key,solenoid_time_us,voltage_V
30 ,3013, 1.03
35 ,2730, 1.01
 3 ,2703, 0.98
 8 ,3100, 0.99
13 ,2606, 1.00
18 ,1917, 1.00
23 ,2180, 1.01
28 ,4234, 1.08
33 ,3068, 0.99
 1 ,2618, 1.00
 6 ,2426, 1.03
11 ,2486, 1.03
16 ,2227, 1.00
21 ,1995, 1.01
26 ,3654, 1.08
31 ,3234, 0.95
36 ,3016, 1.09
 4 ,2509, 1.03
 9 ,3586, 1.02
14 ,3001, 1.04
19 ,3070, 1.03
24 ,2686, 1.11
29 ,4850, 1.21
34 ,3432, 1.03
 2 ,3017, 1.02
 7 ,2681, 1.03
12 ,2335, 1.12
17 ,2830, 0.87
22 ,2191, 1.10
27 ,4170, 1.13
32 ,2624, 1.05
 0 ,2822, 1.00
 5 ,3231, 1.01
10 ,2962, 1.00
15 ,2990, 0.91
20 ,3286, 1.02
25 ,3172, 1.00
30 ,3009, 1.02
35 ,2729, 0.93
 3 ,2710, 0.99
 8 ,3102, 1.02
13 ,2606, 1.00
18 ,1917, 1.01
23 ,2179, 1.00
28 ,4222, 0.99
33 ,3069, 0.92
 1 ,2618, 1.00
 6 ,2419, 1.01
11 ,2481, 1.05
16 ,2227, 1.01
21 ,1994, 1.00
26 ,3641, 1.04
31 ,3242, 1.04
36 ,3004, 1.05
 4 ,2499, 0.97
 9 ,3581, 1.03
14 ,2993, 1.04
19 ,3066, 1.03
24 ,2669, 0.67
29 ,4817, 1.21
34 ,3428, 1.00
 2 ,3009, 0.99
 7 ,2674, 1.02
12 ,2309, 0.77
17 ,2854, 0.93
22 ,2174, 1.02
27 ,4149, 1.18
32 ,2618, 1.01
